,id,date,price,bedrooms,bathrooms,sqft_lot,floors,waterfront,yr_built,zipcode,lat,long,age
0,7129300520,2014-10-13,221900.0,3,1,5650,1,0,1955,98178,47.5112,-122.257,59
1,6414100192,2014-12-09,538000.0,3,2,7242,2,0,1951,98125,47.721,-122.319,63
2,5631500400,2015-02-25,180000.0,2,1,10000,1,0,1933,98028,47.7379,-122.233,82
3,2487200875,2014-12-09,604000.0,4,3,5000,1,0,1965,98136,47.5208,-122.393,49
4,1954400510,2015-02-18,510000.0,3,2,8080,1,0,1987,98074,47.6168,-122.045,28
5,7237550310,2014-05-12,1225000.0,4,4,101930,1,0,2001,98053,47.6561,-122.005,13
6,1321400060,2014-06-27,257500.0,3,2,6819,2,0,1995,98003,47.3097,-122.327,19
7,2008000270,2015-01-15,291850.0,3,1,9711,1,0,1963,98198,47.4095,-122.315,52
8,2414600126,2015-04-15,229500.0,3,1,7470,1,0,1960,98146,47.5123,-122.337,55
9,3793500160,2015-03-12,323000.0,3,2,6560,2,0,2003,98038,47.3684,-122.031,12
10,1736800520,2015-04-03,662500.0,3,2,9796,1,0,1965,98007,47.6007,-122.145,50
11,9212900260,2014-05-27,468000.0,2,1,6000,1,0,1942,98115,47.69,-122.292,72
12,114101516,2014-05-28,310000.0,3,1,19901,1,0,1927,98028,47.7558,-122.229,87
13,6054650070,2014-10-07,400000.0,3,1,9680,1,0,1977,98074,47.6127,-122.045,37
14,1175000570,2015-03-12,530000.0,5,2,4850,1,0,1900,98107,47.67,-122.394,115
15,9297300055,2015-01-24,650000.0,4,3,5000,2,0,1979,98126,47.5714,-122.375,36
16,1875500060,2014-07-31,395000.0,3,2,14040,2,0,1994,98019,47.7277,-121.962,20
17,6865200140,2014-05-29,485000.0,4,1,4300,1,0,1916,98103,47.6648,-122.343,98
18,16000397,2014-12-05,189000.0,2,1,9850,1,0,1921,98002,47.3089,-122.21,93
19,7983200060,2015-04-24,230000.0,3,1,9774,1,0,1969,98003,47.3343,-122.306,46
20,6300500875,2014-05-14,385000.0,4,1,4980,1,0,1947,98133,47.7025,-122.341,67
21,2524049179,2014-08-26,2000000.0,3,2,44867,1,0,1968,98040,47.5316,-122.233,46
22,7137970340,2014-07-03,285000.0,5,2,6300,2,0,1995,98092,47.3266,-122.169,19
